Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-19,43.21806891406814,43.79195339696897,39.9071852388536,42.60003662109375,62136867,0.0,0
2020-03-20,44.93972825942518,48.3830451965332,44.54242155221907,48.3830451965332,67520684,0.0,0
2020-03-23,45.91091984473502,48.16232004813545,45.73433871019273,47.10283660888672,51929992,0.0,0
2020-03-24,49.928122710965674,50.59029941367876,49.39838269599716,49.972267150878906,51490593,0.0,0
2020-03-25,51.20833075506937,51.561493004030396,48.78034955547556,49.53081512451172,43042193,0.0,0
2020-03-26,49.48667611320015,50.5020151643241,49.00108049362115,49.92812728881836,34447424,0.0,0
2020-03-27,50.987610783903094,50.987610783903094,49.53082055716093,49.92812728881836,33114551,0.0,0
2020-03-30,49.3542366027832,50.50200884210275,48.69205992225215,49.3542366027832,31249365,0.0,0
2020-03-31,50.678593121140054,51.16418871018132,49.66325413386788,50.89931869506836,27595422,0.0,0
2020-04-01,50.41371612381092,51.29661835622796,49.35423613931427,50.369571685791016,26589616,0.0,0
2020-04-02,49.88397888426234,52.223671276478385,49.57496443306623,52.17952346801758,28377043,0.0,0
2020-04-03,52.97413540973621,53.76874878808419,52.09123315290728,53.54802322387695,32466906,0.0,0
2020-04-06,54.12190838180123,55.18139177753079,53.76874949522795,54.73994064331055,29375162,0.0,0
2020-04-07,55.00480908970808,55.84356689453125,53.94532572403697,55.84356689453125,35894454,0.0,0
2020-04-08,56.06429627387432,56.06429627387432,54.077766090941765,54.34263610839844,27234679,0.0,0
2020-04-09,54.38677978515625,54.82823093071111,53.37144417118306,54.38677978515625,24427851,0.0,0
2020-04-14,54.69579620348949,55.84356847886116,54.16605282162228,54.73994064331055,22763068,0.0,0
2020-04-15,55.04895482574854,55.137247072971576,53.68045698983751,53.76874923706055,18930594,0.0,0
2020-04-16,53.371441196478926,53.85703675592318,52.70926451505364,53.106571197509766,28423908,0.0,0
2020-04-17,54.96066219919008,54.96066219919008,53.10656891798552,53.2390022277832,24539685,0.0,0
2020-04-20,52.84170141108678,54.16605486367547,52.84170141108678,53.85704040527344,13949941,0.0,0
2020-04-21,53.15071549753403,53.68045549409225,52.576827694591984,52.841697692871094,22881931,0.0,0
2020-04-22,52.70926597409079,54.475070506770514,52.576829286937866,54.25434494018555,22294749,0.0,0
2020-04-23,54.386777495134844,54.91652086829815,53.724600804684314,54.29848861694336,23305741,0.0,0
2020-04-24,54.21019806748697,54.60750137510484,53.32729584077223,53.901180267333984,17418115,0.0,0
2020-04-27,54.56336234150641,55.57870134999279,54.033622300212244,55.3138313293457,19256566,0.0,0
2020-04-28,55.843569503331246,55.843569503331246,54.73994164753419,55.666988372802734,22818594,0.0,0
2020-04-29,55.66698517133738,56.28501740864105,54.651649623200036,55.137245178222656,20654873,0.0,0
2020-05-04,53.018283078822215,53.81289650557761,52.84170194309823,53.06242752075195,36682147,0.0,0
2020-05-05,53.15071563600383,53.54802231845996,52.929990075528735,53.106571197509766,16009076,0.0,0
2020-05-06,52.8858439642963,53.72459837316869,52.665118410802584,52.70926284790039,36070260,0.0,0
2020-05-07,52.885847987331424,53.194862438527544,52.17952346801758,52.17952346801758,20787117,0.0,0
2020-05-08,52.841700178870624,52.92999242778731,52.17952346801758,52.17952346801758,20394767,0.0,0
2020-05-11,52.797555417925444,53.283150996002384,52.091234270903996,52.223670959472656,25548055,0.0,0
2020-05-12,51.69392564570076,52.09123232858755,50.94346008647386,51.07589340209961,31556412,0.0,0
2020-05-13,50.85517240203099,51.82636697707286,50.59030237902141,51.03175354003906,20479923,0.0,0
2020-05-14,50.85516987265438,50.943462121269576,49.883978713921586,50.1929931640625,26287148,0.0,0
2020-05-15,49.83983383113922,50.63444385359199,49.795689391225984,49.972267150878906,20658702,0.0,0
2020-05-18,49.75154289683542,51.03175189614811,49.663254014677975,50.63444519042969,15821142,0.0,0
2020-05-19,51.73807496429187,52.09123724194779,50.148851450850415,50.281288146972656,29614763,0.0,0
2020-05-20,49.70739547826358,50.10470216018316,49.001074359298066,49.3542366027832,47191538,0.0,0
2020-05-21,49.928123399789555,51.208332382964656,49.839834518745036,50.94346237182617,39517128,0.0,0
2020-05-22,50.855172095494574,50.855172095494574,48.603771861476204,49.57496643066406,45972563,0.0,0
2020-05-25,50.00579573896065,50.00579573896065,48.77614297346923,49.36819839477539,22485523,1.723,0
